symbol,set,direction,entry_time,entry_price,fill_entry,size,entry_fee,initial_sl,tp1,tp2,tp3,initial_rr,exit_price,exit_time,pnl,reason
BTC/USDT,Set 4,LONG,1647661500000,41667.54,41682.123639000005,0.008503315028368754,0.265827171265375,41292.91184691422,42000.0,38990.61,39327.99,6.244992483157823,39314.2252035,1647662400000,-20.385712283739267,TP3
BTC/USDT,Set 4,LONG,1660383900000,24502.71,24511.2859485,0.019911214377803046,0.36603710189716127,24352.959009187958,24888.0,24334.46,23000.77,10.029583055548189,22992.7197305,1660384800000,-30.579857242249638,TP3
BTC/USDT,Set 4,LONG,1664586000000,19402.88,19409.671008,0.017058775011773976,0.24832890808351818,19246.01495505524,19768.19,20185.0,20385.86,6.266405624950788,19474.47777363981,1664623800000,0.8563659831810281,SL
BTC/USDT,Set 4,LONG,1665045900000,20127.84,20134.884744000003,0.02086268708715913,0.31505084996256466,19999.165819270493,20374.59,20299.99,19341.58,6.110472167317197,19334.810447000003,1665046800000,-16.994231779973774,TP3
BTC/USDT,Set 4,LONG,1675489500000,23307.55,23315.7076425,0.02628980666530285,0.45972408463953685,23211.902782697514,23361.33,24144.62,23960.54,6.8270674089233205,23512.974670203814,1675554300000,4.722498351117801,SL
BTC/USDT,Set 4,LONG,1680359400000,28365.34,28375.267869000003,0.0987233885113713,2.1009769454591387,28339.391013917815,28572.93,28710.15,28194.4,6.587540625232973,28184.531960000004,1680360300000,-20.91694962130015,TP3
BTC/USDT,Set 4,LONG,1681421400000,30283.39,30293.989186500003,0.012236763468919392,0.2780252851539018,30091.133089565294,30535.76,30350.07,28083.45,11.442709627580026,28073.6207925,1681422300000,-27.427770544257903,TP3
BTC/USDT,Set 4,LONG,1701484200000,38694.83,38708.3731905,0.013357950869021275,0.38779841047382957,38539.24291533479,38438.81,37932.77,37748.0,6.085530826915185,37734.7882,1701485100000,-13.383145055036932,TP3
BTC/USDT,Set 4,LONG,1709312400000,61427.38,61448.879583,0.011052143512550967,0.5093563768775843,61251.441895318894,62677.06,61749.0,52065.78,53.20962174151177,52047.556977,1709313300000,-104.33619445119228,TP3
BTC/USDT,Set 4,LONG,1717495200000,68717.92,68741.97127200001,0.012267563730618125,0.6324723851606854,68644.46358619709,68200.0,69191.99,70096.12,18.76214653900537,70071.586358,1717515000000,15.666432066181976,TP3
BTC/USDT,Set 4,LONG,1726958700000,63137.99,63160.088296500006,0.0049985905518958665,0.2367835654618452,62926.37123518429,63340.0,63700.0,60395.8,12.958160881375996,60374.66147000001,1726959600000,-14.149549377238571,TP3
BTC/USDT,Set 4,LONG,1752142500000,110991.17,111030.0169095,0.002625916869098494,0.21866669578421033,110642.22518936178,111185.77,108660.0,108789.99,6.3081035536079275,108751.9135035,1752143400000,-6.196290276527807,TP3
BTC/USDT,Set 4,LONG,1753047000000,118100.01,118141.3450035,0.0016148733086550958,0.1430874785210739,117570.96715973811,118263.0,119531.48,123218.0,9.674055880742117,118939.82314848552,1753049700000,1.1453864845775679,SL
BTC/USDT,Set 4,LONG,1761411600000,111372.25,111411.2302875,0.0037894293571915294,0.31663874007920895,111143.77469538014,111943.19,114000.0,109163.88,9.665683578688322,109125.672642,1761412500000,-8.97110226006089,TP3
