trade_id,symbol,set,direction,entry_ts,entry_price,fill_entry,size,entry_fee,initial_sl,tp1,tp2,tp3,planned_rr,exit_ts,exit_price,fill_exit,exit_reason,exit_fee,net_pnl,trailing_phase
BTC/USDT_Set 6_1,BTC/USDT,Set 6,SHORT,1787777280,78399.53,78372.0901645,2.12392725713014,124.84246387398187,78446.61259177158,78391.99,77858.0,77858.0,11.501703275536823,1787777760,78446.61259177158,78474.06890617871,SL,125.00491044580632,-466.44280341904414,2
ETH/USDT_Set 4_1,ETH/USDT,Set 4,SHORT,1505099700,296.36,296.256274,13.960537051909522,3.101922517528245,303.523048214275,285.21,283.0,235.55,8.489402581266182,1505100600,303.523048214275,303.62928128115,SL,3.179120873527615,-109.21218472354866,1
ETH/USDT_Set 4_2,ETH/USDT,Set 4,SHORT,1512969300,453.12,452.961408,31.31957889704022,10.63992041637782,456.2780206898028,442.07,423.01,375.01,24.733846821275023,1512972900,431.02446015451704,431.17531871557117,SL,10.128172059726596,661.5630497255272,1
ETH/USDT_Set 4_3,ETH/USDT,Set 4,LONG,1566713700,188.45,188.5159575,72.25390917369818,10.215761153248309,186.98954602793404,189.18,192.61,203.59,10.366639613149237,1566743400,186.98954602793404,186.92409968682426,SL,10.129497690860328,-135.36320869475108,2
ETH/USDT_Set 4_4,ETH/USDT,Set 4,SHORT,1592381700,234.54,234.457911,76.3242576281032,13.421119501583169,235.90483314479977,234.27,220.3,218.27,11.920871105740066,1592400600,235.90483314479977,235.98739983640047,SL,13.50867232657472,-143.66689181689551,2
ETH/USDT_Set 4_5,ETH/USDT,Set 4,LONG,1630288800,3205.37,3206.4918795000003,5.179245211290175,12.455405783955907,3185.5344441508664,3258.37,3285.0,3357.85,7.687205801528431,1630294200,3258.436386029329,3257.2959332942187,SL,12.652750773201781,238.0184957706762,1
ETH/USDT_Set 4_6,ETH/USDT,Set 4,SHORT,1642320900,3330.33,3329.1643845,5.403513004969609,13.491887285495544,3349.7827879373913,3303.66,3188.0,3075.48,13.100949890588058,1642341600,3349.7827879373913,3350.9552119131695,SL,13.580197549982628,-144.81910415158842,2
ETH/USDT_Set 4_7,ETH/USDT,Set 4,SHORT,1665944100,1283.61,1283.1607365,14.040851692923612,13.51250219953435,1290.993113491138,1263.64,1279.3,1190.0,12.678932825881486,1665949500,1276.281861450259,1276.7285601017666,SL,13.444767273381611,63.3559653974031,1
ETH/USDT_Set 4_8,ETH/USDT,Set 4,LONG,1700568900,2007.51,2008.2126285000002,18.209233097707518,27.426008896587312,2001.7822046197432,2033.5,2034.6,2118.0,19.290144403700126,1700576100,2027.6875752416602,2026.9778845903256,SL,27.682284588302494,286.59262880202226,1
ETH/USDT_Set 4_9,ETH/USDT,Set 4,SHORT,1723846500,2600.22,2599.309923,2.2230559088532345,4.333808462449497,2648.426024453235,2611.4,2550.04,2309.04,6.040323866210399,1723975200,2648.426024453235,2649.352973561794,SL,4.417244836885826,-119.99955254777308,2
ETH/USDT_Set 6_1,ETH/USDT,Set 6,SHORT,1785591540,1868.85,1868.1959024999999,154.9596739935075,217.1212710055549,1869.4953291841862,1868.69,1866.42,1860.95,12.24181424548688,1785592680,1869.4953291841862,1870.1496525494008,SL,217.34833535859488,-737.2220770841161,2
